o_id,name,slug,description,url,retail_price,store,brand,episode,season,show,character,image_cover_picture,image_picture_1,image_picture_2,image_picture_3,type,color,tags,recommended_products
ObjectID(5270bf9702c82d76ca00000c),"Black Pinstripe Suit","Black-Pinstripe-Suit","Black slim-fit wool suit with gray chalk pinstripes.","http://www.brooksbrothers.com/Milano-Fit-Plain-Weave-Chalk-Stripe-1818-Suit/MK00141,default,pd.html?dwvar_MK00141_Color=BLCK&contentpos=2&cgid=0216 ","1098.00","Brooks Brothers","Brooks Brothers",12,5,"White Collar","Clinton Jones",,,,,"Suit","black","[ ""White_Collar"", "" Jones"", "" Lookalike"", "" Suit"" ]",
ObjectID(5270bfe602c82d6f1800000c),"Aubergine Double Check Tie","Aubergine-Double-Check-Ti","Aubergine silk tie in purple and deep magenta double check pattern.","http://shop.nordstrom.com/S/etro-woven-silk-tie/3529285?origin=category-personalizedsort&contextualcategoryid=0&fashionColor=PURPLE&resultback=417&cm_sp=personalizedsort-_-browseresults-_-3_3_B ","165.00","Nordstrom","Etro",12,5,"White Collar","Clinton Jones",,,,,"Tie","Purple","[ ""White_Collar"", "" Jones"", "" Lookalike"", "" Tie"" ]",
ObjectID(5270c05802c82d3679000007),"Navy and Pale Blue Dotted Paisley Tie","Navy-and-Pale-Blue-Dotted","Navy silk tie patterned with dotted paisley pines in pale blue.","http://www.brooksbrothers.com/Dotted-Pine-Tie/MA01375,default,pd.html?dwvar_MA01375_Color=NAVY&contentpos=36&cgid=0210 ","79.50","Brooks Brothers","Brooks Brothers",12,5,"White Collar","Clinton Jones",,,,,"Tie","Blue","[ ""White_Collar"", "" Jones"", "" Lookalike"", "" Tie"" ]",
ObjectID(5270c48c02c82d23b5000006),"Roller Buckle Belt","Roller-Buckle-Belt","Brown leather belt with roller buckle and double carrier.","http://www.ralphlauren.com/product/index.jsp?productId=22737996&cp=1760781.2877586&fbn=GenericColor%7CBrown&fbc=1&f=GenericColor%2FPOLO%2FBrown&parentPage=family&selectedColor=Brown  ","65.00","Ralph Lauren","Ralph Lauren",12,5,"White Collar","Clinton Jones",,,,,"Belt","Brown","[ ""White_Collar"", "" Jones"", "" Lookalike"", "" Belt"" ]",
ObjectID(5270c50202c82d3679000008),"Rust Double Pinstripe Dress Shirt","Rust-Double-Pinstripe-Dre","White button-front dress shirt with thin rust and tan double pinstripes.","http://www.josbank.com/menswear/shop/Product_11001_10050_432798 ","135.00","Jos A. Bank","Jos A. Bank",12,5,"White Collar","Clinton Jones",,,,,"Shirt","White","[ ""White_Collar"", "" Jones"", "" Lookalike"", "" Shirt"" ]",
ObjectID(5270c57702c82d76ca00000e),"Red and White Pinstripe Tie","Red-and-White-Pinstripe-T","Silk tie patterned with very thin orange-red and white stripes.","http://shop.nordstrom.com/S/boss-hugo-boss-woven-silk-tie/3530170?origin=category-personalizedsort&contextualcategoryid=0&fashionColor=RED&resultback=3270&cm_sp=personalizedsort-_-browseresults-_-1_10_D ","95.00","Nordstrom","Hugo Boss",12,5,"White Collar","Clinton Jones",,,,,"Tie","Red","[ ""White_Collar"", "" Jones"", "" Lookalike"", "" Tie"" ]",
ObjectID(5270c69202c82d7c4200000d),"Brown Lace-up Ankle Boot","Brown-Lace-up-Ankle-Boot","Dark brown lace-up ankle boot with 1 inch block heel.","http://www.dsw.com/shoe/zigi+soho+fantasy+bootie?prodId=272950&activeCats=dsw12cat1740002,dsw12cat1740052,dsw10cat70017 ","69.95","DSW","Zigi Soho",12,5,"White Collar","Rebecca",,,,,"Shoes","Brown","[ ""White_Collar"", "" Rebecca"", "" Lookalike"", "" Shoes"" ]",
ObjectID(5271eea602c82d6070000015),"Silver Dart Tie Bar","Silver-Dart-Tie-Bar","Silver dart tie bar.","http://www.lordandtaylor.com/webapp/wcs/stores/servlet/en/lord-and-taylor/mens/MensTieBars/dart-tie-clip ","42.00","Lord & Taylor","Zack",12,5,"White Collar","Neal Caffrey",,,,,"Tie Bar","Silver","[ "" White_Collar"", "" Neal"", "" Lookalike"", "" Tie_Bar"" ]",
ObjectID(5271ef0d02c82d3b11000002),"Burgundy Diamond Neat Tie","Burgundy-Diamond-Neat-Tie","Burgundy silk tie in diamond neat print.","http://www.lordandtaylor.com/webapp/wcs/stores/servlet/en/lord-and-taylor/mens/MensClassicTies/silk-neat-print-tie-0124-3498--1 ","39.99","Lord & Taylor","Black Brown 1826",12,5,"White Collar","Peter Burke",,,,,"Tie Bar","Burgundy","[ "" White_Collar"", "" Peter"", "" Lookalike"", "" Tie"" ]",
ObjectID(5271f02a02c82d39a200000d),"Diamond and Herringbone Neat Print Tie","Diamond-and-Herringbone-N","Burrgundy silk tie in diamond and herringbone neat print.","http://www.lordandtaylor.com/webapp/wcs/stores/servlet/en/lord-and-taylor/mens/MensClassicTies/silk-neat-print-tie-0355-3bi33421--1","55.65","Lord & Taylor","Ike Behar",12,5,"White Collar","Peter Burke",,,,,"Tie","Burgundy","[ "" White_Collar"", "" Peter"", "" Lookalike"", "" Tie"" ]",
